acta_id,acta_detalle_id,diputado_nombre,persona_id,bloque,distrito_nombre,voto
3864,1139025,. NO INCORPORADO Legislador 2, ,PRO,C.A.B.A.,AUSENTE
3864,1139026,ABDALA DE MATARAZZO Norma Amanda, ,Frente Cívico por Santiago,Santiago del Estero,AFIRMATIVO
3864,1139027,ACERENZA Samanta María Celeste, ,PRO,Buenos Aires,NEGATIVO
3864,1139028,AICEGA Juan, ,PRO,Buenos Aires,NEGATIVO
3864,1139029,ALLENDE Walberto Enrique, ,Todos Juntos por San Juan,San Juan,AFIRMATIVO
3864,1139030,ALONSO Laura Valeria, ,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
3864,1139031,ALUME SBODIO Karim Augusto, ,Unidad Justicialista,San Luis,AFIRMATIVO
3864,1139032,ÁLVAREZ RODRIGUEZ María Cristina, ,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
3864,1139033,AMADEO Eduardo Pablo, ,PRO,Buenos Aires,NEGATIVO
3864,1139034,ANSALONI Pablo Miguel, ,PRO,Buenos Aires,NEGATIVO
3864,1139035,ARCE Mario Horacio, ,Unión Cívica Radical,Formosa,NEGATIVO
3864,1139036,ARROYO Daniel Fernando, ,Red por Argentina,Buenos Aires,AFIRMATIVO
3864,1139037,ASENCIO Fernando, ,Red por Argentina,Buenos Aires,AFIRMATIVO
3864,1139038,AUSTIN Brenda Lis, ,Unión Cívica Radical,Córdoba,NEGATIVO
3864,1139039,ÁVILA Beatriz Luisa, ,Partido por la Justicia Social,Tucumán,NEGATIVO
3864,1139040,AYALA Aida Beatriz Máxima, ,Unión Cívica Radical,Chaco,NEGATIVO
3864,1139041,BAHILLO Juanjo, ,Justicialista,Entre Ríos,AFIRMATIVO
3864,1139042,BALDASSI Héctor Walter, ,PRO,Córdoba,NEGATIVO
3864,1139043,BANFI Karina Verónica, ,Unión Cívica Radical,Buenos Aires,NEGATIVO
3864,1139044,BASTERRA Luis Eugenio, ,Frente para la Victoria - PJ,Formosa,AFIRMATIVO
3864,1139045,BAZZE Miguel Ángel, ,Unión Cívica Radical,Buenos Aires,AUSENTE
3864,1139046,BENEDETTI Atilio Francisco Salvador, ,Unión Cívica Radical,Entre Ríos,AUSENTE
3864,1139047,BERISSO Hernán, ,PRO,Buenos Aires,NEGATIVO
3864,1139048,BEVILACQUA Gustavo, ,Federal Unidos por una Nueva Argentina,Buenos Aires,AFIRMATIVO
3864,1139049,BIANCHI Ivana María, ,Unidad Justicialista,San Luis,AUSENTE
3864,1139050,BORSANI Luis Gustavo, ,Unión Cívica Radical,Mendoza,NEGATIVO
3864,1139051,BOSSIO Diego Luis, ,Justicialista,Buenos Aires,AFIRMATIVO
3864,1139052,BRAGAGNOLO Sebastián, ,PRO,Mendoza,NEGATIVO
3864,1139053,BRAMBILLA Sofía, ,PRO,Corrientes,NEGATIVO
3864,1139054,BRITEZ María Cristina, ,Frente para la Victoria - PJ,Misiones,AFIRMATIVO
3864,1139055,BRIZUELA DEL MORAL Eduardo Segundo, ,Fte. Cívico y Social de Catamarca,Catamarca,AUSENTE
3864,1139056,BRÜGGE Juan Fernando, ,Córdoba Federal,Córdoba,AFIRMATIVO
3864,1139057,BUCCA Eduardo, ,Justicialista,Buenos Aires,AFIRMATIVO
3864,1139058,BUIL Sergio Omar, ,PRO,Buenos Aires,NEGATIVO
3864,1139059,BURGOS María Gabriela, ,Unión Cívica Radical,Jujuy,NEGATIVO
3864,1139060,CABANDIÉ Juan, ,Frente para la Victoria - PJ,C.A.B.A.,AFIRMATIVO
3864,1139061,CÁCERES Eduardo Augusto, ,PRO,San Juan,NEGATIVO
3864,1139062,CAMAÑO Graciela, ,Federal Unidos por una Nueva Argentina,Buenos Aires,AFIRMATIVO
3864,1139063,CAMPAGNOLI Marcela, ,Coalición Cívica,Buenos Aires,NEGATIVO
3864,1139064,CAMPOS Javier, ,Coalición Cívica,Buenos Aires,NEGATIVO
3864,1139065,CANO José Manuel, ,Unión Cívica Radical,Tucumán,AUSENTE
3864,1139066,CANTARD Albor Angel, ,Unión Cívica Radical,Santa Fe,NEGATIVO
3864,1139067,CARAMBIA Antonio José, ,PRO,Santa Cruz,NEGATIVO
3864,1139068,CARMONA Guillermo Ramón, ,Frente para la Victoria - PJ,Mendoza,AFIRMATIVO
3864,1139069,CAROL Analuz Ailén, ,Frente para la Victoria - PJ,Tierra del Fuego,AFIRMATIVO
3864,1139070,CARRIÓ Elisa María Avelina, ,Coalición Cívica,C.A.B.A.,AUSENTE
3864,1139071,CARRIZO Ana Carla, ,Evolución Radical,C.A.B.A.,AUSENTE
