acta_id,acta_detalle_id,diputado_nombre,persona_id,bloque,distrito_nombre,voto
3761,1085826,ABDALA DE MATARAZZO Norma Amanda, ,Frente Cívico por Santiago,Santiago del Estero,AFIRMATIVO
3761,1085827,ACERENZA Samanta María Celeste, ,PRO,Buenos Aires,NEGATIVO
3761,1085828,AICEGA Juan, ,PRO,Buenos Aires,NEGATIVO
3761,1085829,ALLENDE Walberto Enrique, ,Todos Juntos por San Juan,San Juan,AFIRMATIVO
3761,1085830,ALONSO Laura Valeria, ,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
3761,1085831,ALUME SBODIO Karim Augusto, ,Unidad Justicialista,San Luis,AFIRMATIVO
3761,1085832,ÁLVAREZ RODRIGUEZ María Cristina, ,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
3761,1085833,AMADEO Eduardo Pablo, ,PRO,Buenos Aires,NEGATIVO
3761,1085834,ANSALONI Pablo Miguel, ,PRO,Buenos Aires,NEGATIVO
3761,1085835,ARCE Mario Horacio, ,Unión Cívica Radical,Formosa,NEGATIVO
3761,1085836,ARROYO Daniel Fernando, ,Federal Unidos por una Nueva Argentina,Buenos Aires,AUSENTE
3761,1085837,AUSTIN Brenda Lis, ,Unión Cívica Radical,Córdoba,NEGATIVO
3761,1085838,ÁVILA Beatriz Luisa, ,Partido por la Justicia Social,Tucumán,NEGATIVO
3761,1085839,AYALA Aida Beatriz Máxima, ,Unión Cívica Radical,Chaco,AUSENTE
3761,1085840,BAHILLO Juanjo, ,Justicialista,Entre Ríos,AFIRMATIVO
3761,1085841,BALBO Elva Susana, ,PRO,Mendoza,NEGATIVO
3761,1085842,BALDASSI Héctor Walter, ,PRO,Córdoba,NEGATIVO
3761,1085843,BANFI Karina Verónica, ,Unión Cívica Radical,Buenos Aires,NEGATIVO
3761,1085844,BASTERRA Luis Eugenio, ,Frente para la Victoria - PJ,Formosa,AFIRMATIVO
3761,1085845,BAZZE Miguel Ángel, ,Unión Cívica Radical,Buenos Aires,NEGATIVO
3761,1085846,BENEDETTI Atilio Francisco Salvador, ,Unión Cívica Radical,Entre Ríos,NEGATIVO
3761,1085847,BERISSO Hernán, ,PRO,Buenos Aires,NEGATIVO
3761,1085848,BEVILACQUA Gustavo, ,Federal Unidos por una Nueva Argentina,Buenos Aires,AFIRMATIVO
3761,1085849,BIANCHI Ivana María, ,Unidad Justicialista,San Luis,AFIRMATIVO
3761,1085850,BORSANI Luis Gustavo, ,Unión Cívica Radical,Mendoza,NEGATIVO
3761,1085851,BOSSIO Diego Luis, ,Justicialista,Buenos Aires,AUSENTE
3761,1085852,BRAMBILLA Sofía, ,PRO,Corrientes,NEGATIVO
3761,1085853,BRITEZ María Cristina, ,Frente para la Victoria - PJ,Misiones,AFIRMATIVO
3761,1085854,BRIZUELA DEL MORAL Eduardo Segundo, ,Fte. Cívico y Social de Catamarca,Catamarca,NEGATIVO
3761,1085855,BRÜGGE Juan Fernando, ,Córdoba Federal,Córdoba,AFIRMATIVO
3761,1085856,BUCCA Eduardo, ,Justicialista,Buenos Aires,AUSENTE
3761,1085857,BUIL Sergio Omar, ,PRO,Buenos Aires,NEGATIVO
3761,1085858,BURGOS María Gabriela, ,Unión Cívica Radical,Jujuy,NEGATIVO
3761,1085859,CABANDIÉ Juan, ,Frente para la Victoria - PJ,C.A.B.A.,AFIRMATIVO
3761,1085860,CÁCERES Eduardo Augusto, ,PRO,San Juan,NEGATIVO
3761,1085861,CAMAÑO Graciela, ,Federal Unidos por una Nueva Argentina,Buenos Aires,AFIRMATIVO
3761,1085862,CAMPAGNOLI Marcela, ,Coalición Cívica,Buenos Aires,NEGATIVO
3761,1085863,CAMPOS Javier, ,Coalición Cívica,Buenos Aires,NEGATIVO
3761,1085864,CANO José Manuel, ,Unión Cívica Radical,Tucumán,NEGATIVO
3761,1085865,CANTARD Albor Angel, ,Unión Cívica Radical,Santa Fe,NEGATIVO
3761,1085866,CARAMBIA Antonio José, ,PRO,Santa Cruz,NEGATIVO
3761,1085867,CARMONA Guillermo Ramón, ,Frente para la Victoria - PJ,Mendoza,AFIRMATIVO
3761,1085868,CAROL Analuz Ailén, ,Frente para la Victoria - PJ,Tierra del Fuego,AFIRMATIVO
3761,1085869,CARRIÓ Elisa María Avelina, ,Coalición Cívica,C.A.B.A.,NEGATIVO
3761,1085870,CARRIZO Ana Carla, ,Evolución Radical,C.A.B.A.,NEGATIVO
3761,1085871,CARRIZO Soledad, ,Unión Cívica Radical,Córdoba,NEGATIVO
3761,1085872,CARRO Pablo, ,Frente para la Victoria - PJ,Córdoba,AUSENTE
3761,1085873,CASELLES Graciela María, ,Partido Bloquista de San Juan,San Juan,AFIRMATIVO
3761,1085874,CASSINERIO Paulo Leonardo, ,Córdoba Federal,Córdoba,AFIRMATIVO
3761,1085875,CASTAGNETO Carlos Daniel, ,Frente para la Victoria - PJ,Buenos Aires,AUSENTE
3761,1085876,CASTRO Sandra Daniela, ,Frente para la Victoria - PJ,San Juan,AFIRMATIVO
3761,1085877,CERRUTI Gabriela, ,Frente para la Victoria - PJ,C.A.B.A.,AFIRMATIVO
3761,1085878,CIAMPINI José Alberto, ,Frente para la Victoria - PJ,Neuquén,AFIRMATIVO
3761,1085879,CLERI Marcos, ,Frente para la Victoria - PJ,Santa Fe,AUSENTE
3761,1085880,CONTIGIANI Luis Gustavo, ,Partido Socialista,Santa Fe,AFIRMATIVO
3761,1085881,CORREA Walter, ,Frente para la Victoria - PJ,Buenos Aires,AUSENTE
3761,1085882,CRESTO Mayda, ,Justicialista,Entre Ríos,AUSENTE
