sesion_id,acta_id,nroperiodo,tipo_periodo,reunion,sesion,tipo_sesion,numero,fecha,hora,base_mayoria,tipo_mayoria,titulo,resultado,presidente_nombre,persona_id,votos_afirmativos,votos_negativos,abstenciones,ausentes
HCDN136R02,3761,136,Ordinario,2,2,Tablas,3,2018-03-21,17:02,Votos Emitidos,Dos tercios,Pedido de Incorporación del Expediente 958-D-2018. Votación.,NEGATIVO,MONZÓ Emilio,,96,108,4,48
HCDN136R02,3762,136,Ordinario,2,2,Tablas,4,2018-03-21,18:21,Votos Emitidos,Más de la mitad,Expediente 3337-D-2017. Votación.,AFIRMATIVO,MONZÓ Emilio,,202,1,8,45
HCDN136R02,3763,136,Ordinario,2,2,Tablas,5,2018-03-21,18:44,Votos Emitidos,Más de la mitad,Expediente 1054-D-2018 - Orden del Día 19 - Votación en General y Particular.,AFIRMATIVO,MONZÓ Emilio,,218,0,3,35
HCDN136R02,3764,136,Ordinario,2,2,Tablas,6,2018-03-21,19:17,Votos Emitidos,Más de la mitad,Expediente 146-S-2017 - Orden del Día 18 - Votación en General y Particular.,AFIRMATIVO,MONZÓ Emilio,,212,0,1,43
HCDN136R02,3765,136,Ordinario,2,2,Tablas,7,2018-03-22,01:39,Votos Emitidos,Más de la mitad,Expediente 6828-D-2017 - Orden del Día 23. Votación en General.,AFIRMATIVO,MONZÓ Emilio,,140,87,0,29
HCDN136R02,3766,136,Ordinario,2,2,Tablas,8,2018-03-22,01:50,Votos Emitidos,Más de la mitad,Expediente 6830-D-2017 - Orden del Día 22. Votación en General.,AFIRMATIVO,MONZÓ Emilio,,140,69,18,29
HCDN136R02,3767,136,Ordinario,2,2,Tablas,9,2018-03-22,02:16,Votos Emitidos,Más de la mitad,Expediente 6829-D-2017 - Orden del Día 24. Votación en General.,AFIRMATIVO,MONZÓ Emilio,,139,63,24,30
HCDN136R02,3768,136,Ordinario,2,2,Tablas,10,2018-03-22,02:33,Votos Emitidos,Dos tercios,"Solicitud de Tratamiento sobre Tablas solicitado por el Diputado NEGRI, Mario Raúl.",NEGATIVO,MONZÓ Emilio,,131,80,1,44
HCDN136R02,3759,136,Ordinario,2,2,Tablas,1,2018-03-21,14:54,Votos Emitidos,Dos tercios,Aprobación del Plan de Labor Parlamentaria. Votación.,AFIRMATIVO,MONZÓ Emilio,,167,70,0,19
HCDN136R02,3760,136,Ordinario,2,2,Tablas,2,2018-03-21,14:56,Votos Emitidos,Más de la mitad,"Moción de Orden solicitada por el Diputado ROSSI, Agustín. Votación.",NEGATIVO,MONZÓ Emilio,,88,150,0,18
HCDN136R04,3777,136,Ordinario,4,3,Especial,9,2018-04-25,14:13,Legisladores Presentes,Más de la mitad,"Moción de Orden solicitada por el Diputado NEGRI, Mario Raúl.",NEGATIVO,MONZÓ Emilio,,105,126,0,25
HCDN136R04,3793,136,Ordinario,4,3,Especial,25,2018-04-25,16:11,Legisladores Presentes,Dos tercios,Habilitar el Tratamiento del Expediente 4005-D-2017. Votación.,NEGATIVO,MONZÓ Emilio,,88,97,0,71
HCDN136R04,3778,136,Ordinario,4,3,Especial,10,2018-04-25,14:15,Legisladores Presentes,Dos tercios,Habilitar el Tratamiento del Expediente 1933-D-2018. Votación.,NEGATIVO,MONZÓ Emilio,,130,103,0,23
HCDN136R04,3794,136,Ordinario,4,3,Especial,26,2018-04-25,16:18,Legisladores Presentes,Dos tercios,Habilitar el Tratamiento del Expediente 3892-D-2017. Votación.,NEGATIVO,MONZÓ Emilio,,95,97,0,64
HCDN136R04,3779,136,Ordinario,4,3,Especial,11,2018-04-25,14:23,Legisladores Presentes,Dos tercios,Habilitar el Tratamiento del Expediente 1766-D-2018. Votación.,NEGATIVO,MONZÓ Emilio,,127,101,0,28
HCDN136R04,3795,136,Ordinario,4,3,Especial,27,2018-04-25,16:30,Legisladores Presentes,Dos tercios,Habilitar el Tratamiento del Expediente 1685-D-2018. Votación.,NEGATIVO,MONZÓ Emilio,,103,99,0,54
HCDN136R04,3780,136,Ordinario,4,3,Especial,12,2018-04-25,14:25,Legisladores Presentes,Dos tercios,Habilitar el Tratamiento del Expediente 1477-D-2018. Votación.,NEGATIVO,MONZÓ Emilio,,126,100,0,30
