diputado_bloque,diputado_apellido,diputado_nombres,diputado_distrito,periodo
BLOQUE FRENTE DE TODOS,AGUIRRE, Hilda Clelia,LA RIOJA,2019-2023
BLOQUE FRENTE DE TODOS,ALDERETE, Juan Carlos,BUENOS AIRES,2019-2023
BLOQUE FRENTE DE TODOS,ALIANIELLO, Eugenia,CHUBUT,2021-2025
BLOQUE FRENTE DE TODOS,ALLENDE, Walberto,SAN JUAN,2021-2025
BLOQUE FRENTE DE TODOS,ALONSO, Constanza María ,BUENOS AIRES,2021-2025
BLOQUE FRENTE DE TODOS,APARICIO, Alicia N.,BUENOS AIRES,2019-2023
BLOQUE FRENTE DE TODOS,ARRICAU, Carolina Natalia,BUENOS AIRES,2019-2023
BLOQUE FRENTE DE TODOS,ARROYO, Daniel ,BUENOS AIRES,2021-2025
BLOQUE FRENTE DE TODOS,AUBONE, Ana Fabiola,SAN JUAN,2021-2025
BLOQUE FRENTE DE TODOS,BARBARO," Héctor ""Cacho""",MISIONES,2019-2023
BLOQUE FRENTE DE TODOS,BERMEJO, Adolfo,MENDOZA,2021-2025
BLOQUE FRENTE DE TODOS,BERTOLDI, Tanya,NEUQUÉN,2021-2025
BLOQUE FRENTE DE TODOS,BERTONE, Rosana Andrea,TIERRA DEL FUEGO,2019-2023
BLOQUE FRENTE DE TODOS,BORDA, Fabian Antonio ,CORRIENTES,2019-2023
BLOQUE FRENTE DE TODOS,BORMIOLI, Lisandro,BUENOS AIRES,2019-2023
BLOQUE FRENTE DE TODOS,BRAWER, Mara,CIUDAD AUTÓNOMA DE BUENOS AIRES,2019-2023
BLOQUE FRENTE DE TODOS,BRITEZ, María Cristina,MISIONES,2019-2023
BLOQUE FRENTE DE TODOS,BRUE, Daniel Agustín,SANTIAGO DEL ESTERO,2019-2023
BLOQUE FRENTE DE TODOS,CALIVA, Lía Verónica,SALTA,2019-2023
BLOQUE FRENTE DE TODOS,CALLETTI, Pamela,SALTA,2021-2025
BLOQUE FRENTE DE TODOS,CANTERO, Carlos ,JUJUY,2019-2023
BLOQUE FRENTE DE TODOS,CAPARROS, Mabel Luisa,TIERRA DEL FUEGO,2019-2023
