BLOQUE,DIPUTADO_APELLIDO,DIPUTADO_NOMBRE,DIPUTADO_APELLIDO_Y_NOMBRE
FRENTE DE TODOS,AGUIRRE,Hilda Clelia,"AGUIRRE, Hilda Clelia"
FRENTE DE TODOS,ALDERETE,Juan Carlos,"ALDERETE, Juan Carlos"
FRENTE DE TODOS,ALIANIELLO,Eugenia,"ALIANIELLO, Eugenia"
FRENTE DE TODOS,ALLENDE,Walberto,"ALLENDE, Walberto"
FRENTE DE TODOS,ALONSO,Constanza María ,"ALONSO, Constanza María "
FRENTE DE TODOS,APARICIO,Alicia N.,"APARICIO, Alicia N."
FRENTE DE TODOS,ARROYO,Daniel ,"ARROYO, Daniel "
FRENTE DE TODOS,AUBONE,Ana Fabiola,"AUBONE, Ana Fabiola"
FRENTE DE TODOS,BARBARO,"Héctor ""Cacho""","BARBARO, Héctor ""Cacho"""
FRENTE DE TODOS,BERMEJO,Adolfo,"BERMEJO, Adolfo"
FRENTE DE TODOS,BERTOLDI,Tanya,"BERTOLDI, Tanya"
FRENTE DE TODOS,BERTONE,Rosana Andrea,"BERTONE, Rosana Andrea"
FRENTE DE TODOS,BORDA,Fabian Antonio ,"BORDA, Fabian Antonio "
FRENTE DE TODOS,BORMIOLI,Lisandro,"BORMIOLI, Lisandro"
FRENTE DE TODOS,BRAWER,Mara,"BRAWER, Mara"
FRENTE DE TODOS,BRITEZ,María Cristina,"BRITEZ, María Cristina"
FRENTE DE TODOS,BRUE,Daniel Agustín,"BRUE, Daniel Agustín"
FRENTE DE TODOS,CALIVA,Lía Verónica,"CALIVA, Lía Verónica"
FRENTE DE TODOS,CALLETTI,Pamela,"CALLETTI, Pamela"
FRENTE DE TODOS,CAPARROS,Mabel Luisa,"CAPARROS, Mabel Luisa"
FRENTE DE TODOS,CARNAGHI,Guillermo Oscar,"CARNAGHI, Guillermo Oscar"
FRENTE DE TODOS,CARRIZO,Nilda Mabel,"CARRIZO, Nilda Mabel"
FRENTE DE TODOS,CARRO,José  ,"CARRO, José  "
FRENTE DE TODOS,CASARETTO,Marcelo Pablo,"CASARETTO, Marcelo Pablo"
FRENTE DE TODOS,CASAS,Sergio Guillermo,"CASAS, Sergio Guillermo"
FRENTE DE TODOS,CASELLES,Graciela María,"CASELLES, Graciela María"
FRENTE DE TODOS,CHAHER,Leila ,"CHAHER, Leila "
FRENTE DE TODOS,CHAHLA,Rossana ,"CHAHLA, Rossana "
FRENTE DE TODOS,CHOMIAK,María Luisa,"CHOMIAK, María Luisa"
FRENTE DE TODOS,CISNEROS,Carlos Anibal,"CISNEROS, Carlos Anibal"
FRENTE DE TODOS,CLERI,Marcos,"CLERI, Marcos"
FRENTE DE TODOS,COSTA,Anahí,"COSTA, Anahí"
FRENTE DE TODOS,DAIVES,Ricardo Daniel,"DAIVES, Ricardo Daniel"
FRENTE DE TODOS,DALDOVO,Nelly Ramona,"DALDOVO, Nelly Ramona"
FRENTE DE TODOS,DANTAS,Pedro Cristian ,"DANTAS, Pedro Cristian "
FRENTE DE TODOS,ESTEVEZ,Gabriela Beatriz,"ESTEVEZ, Gabriela Beatriz"
FRENTE DE TODOS,ESTRADA,Emiliano,"ESTRADA, Emiliano "
FRENTE DE TODOS,FAGIOLI,Federico,"FAGIOLI, Federico"
FRENTE DE TODOS,FERNANDEZ PATRI,Ramiro,"FERNANDEZ PATRI, Ramiro"
FRENTE DE TODOS,FERNÁNDEZ,Agustín,"FERNÁNDEZ, Agustín"
FRENTE DE TODOS,FERNÁNDEZ,Eduardo,"FERNÁNDEZ, Eduardo"
FRENTE DE TODOS,FERREYRA,Daniel Julio,"FERREYRA, Daniel Julio"
FRENTE DE TODOS,GAILLARD,Ana Carolina,"GAILLARD, Ana Carolina"
FRENTE DE TODOS,GINOCCHIO,Silvana Micaela,"GINOCCHIO, Silvana Micaela"
FRENTE DE TODOS,GIOJA,José Luis,"GIOJA, José Luis"
FRENTE DE TODOS,GODOY,Lucas Javier,"GODOY, Lucas Javier"
FRENTE DE TODOS,GOLLAN,Daniel ,"GOLLAN, Daniel "
FRENTE DE TODOS,GONZÁLEZ,Gustavo,"GONZÁLEZ, Gustavo                    "
FRENTE DE TODOS,GROSSO,Leonardo,"GROSSO, Leonardo"
FRENTE DE TODOS,GUTIÉRREZ,Ramiro,"GUTIÉRREZ, Ramiro"
FRENTE DE TODOS,HAGMAN,Itai,"HAGMAN, Itai"
FRENTE DE TODOS,HELLER,Carlos ,"HELLER, Carlos "
FRENTE DE TODOS,HERNANDEZ,Estela ,"HERNANDEZ, Estela "
FRENTE DE TODOS,HERRERA,Bernardo José,"HERRERA, Bernardo José"
FRENTE DE TODOS,HERRERA,Ricardo,"HERRERA, Ricardo"
FRENTE DE TODOS,IGON,Santiago Nicolás,"IGON, Santiago Nicolás"
FRENTE DE TODOS,IPARRAGUIRRE,Rogelio,"IPARRAGUIRRE, Rogelio"
FRENTE DE TODOS,KIRCHNER,Máximo Carlos,"KIRCHNER, Máximo Carlos"
FRENTE DE TODOS,LAMPREABE,Florencia,"LAMPREABE, Florencia"
FRENTE DE TODOS,LANDRISCINI,Susana Graciela,"LANDRISCINI, Susana Graciela"
FRENTE DE TODOS,LEDESMA,Tomás,"LEDESMA, Tomás"
FRENTE DE TODOS,LEITO,Mario,"LEITO, Mario"
FRENTE DE TODOS,LEIVA,Aldo Adolfo,"LEIVA, Aldo Adolfo"
FRENTE DE TODOS,LITZA,Mónica,"LITZA, Mónica "
FRENTE DE TODOS,LÓPEZ RODRÍGUEZ,Dante,"LÓPEZ RODRÍGUEZ, Dante  "
FRENTE DE TODOS,LÓPEZ,Jimena,"LÓPEZ, Jimena"
FRENTE DE TODOS,MACHA,Mónica,"MACHA, Mónica"
FRENTE DE TODOS,MARÍN,Varinia Lis,"MARÍN, Varinia Lis"
FRENTE DE TODOS,MARTÍNEZ,Germán Pedro,"MARTÍNEZ, Germán Pedro"
FRENTE DE TODOS,MARTÍNEZ,María Rosa,"MARTÍNEZ, María Rosa"
FRENTE DE TODOS,MARZIOTTA,Gisela,"MARZIOTTA, Gisela"
FRENTE DE TODOS,MASIN,María Lucila,"MASIN, María Lucila"
FRENTE DE TODOS,MASSA,Sergio Tomás,"MASSA, Sergio Tomás"
FRENTE DE TODOS,MASSETANI,Vanesa Laura,"MASSETANI, Vanesa Laura"
FRENTE DE TODOS,MASTALER,Magali,"MASTALER, Magali"
FRENTE DE TODOS,MIRABELLA,Roberto,"MIRABELLA, Roberto"
FRENTE DE TODOS,MOISÉS,María Carolina,"MOISÉS, María Carolina"
FRENTE DE TODOS,MONTOTO,María Luisa ,"MONTOTO, María Luisa "
FRENTE DE TODOS,MOREAU,Cecilia,"MOREAU, Cecilia"
FRENTE DE TODOS,MOREAU,Leopoldo ,"MOREAU, Leopoldo "
FRENTE DE TODOS,MOYANO,NILDA,"MOYANO, NILDA                          "
FRENTE DE TODOS,NAVARRO,Graciela,"NAVARRO, Graciela"
FRENTE DE TODOS,NEDER,Estela Mary,"NEDER, Estela Mary"
FRENTE DE TODOS,OBEID,Alejandra del Huerto,"OBEID, Alejandra del Huerto"
FRENTE DE TODOS,ORMACHEA,Claudia Beatriz,"ORMACHEA, Claudia Beatriz"
FRENTE DE TODOS,OSUNA,Blanca Inés,"OSUNA, Blanca Inés"
FRENTE DE TODOS,PALAZZO,Sergio Omar,"PALAZZO, Sergio Omar"
FRENTE DE TODOS,PAPONET,Liliana,"PAPONET, Liliana"
FRENTE DE TODOS,PAROLA,María Graciela,"PAROLA, María Graciela"
FRENTE DE TODOS,PASSO,Marcela Fabiana,"PASSO, Marcela Fabiana"
FRENTE DE TODOS,PEDRALI,Gabriela,"PEDRALI, Gabriela"
FRENTE DE TODOS,PEDRINI,Juan Manuel,"PEDRINI, Juan Manuel"
FRENTE DE TODOS,PENACCA,Paula Andrea,"PENACCA, Paula Andrea"
FRENTE DE TODOS,PEREYRA,Julio,"PEREYRA, Julio"
FRENTE DE TODOS,PEREZ ARAUJO,Hernan,"PEREZ ARAUJO, Hernan"
FRENTE DE TODOS,PÉREZ PLAZA,Eber Albano,"PÉREZ PLAZA, Eber Albano"
FRENTE DE TODOS,PONCE,Carlos Ybrhain,"PONCE, Carlos Ybrhain"
FRENTE DE TODOS,PROPATO,Agustina Lucrecia,"PROPATO, Agustina Lucrecia"
FRENTE DE TODOS,ROMERO,Jorge Antonio,"ROMERO, Jorge Antonio"
FRENTE DE TODOS,SAND,Nancy,"SAND, Nancy"
FRENTE DE TODOS,SANTORO,Leandro ,"SANTORO, Leandro "
FRENTE DE TODOS,SELVA,Carlos Américo,"SELVA, Carlos Américo"
FRENTE DE TODOS,SILEY,Vanesa Raquel ,"SILEY, Vanesa Raquel "
FRENTE DE TODOS,SOUTO,Natalia Marcela,"SOUTO, Natalia Marcela"
FRENTE DE TODOS,TAILHADE,Rodolfo,"TAILHADE, Rodolfo"
FRENTE DE TODOS,TOLOSA PAZ,Victoria,"TOLOSA PAZ, VICTORIA"
FRENTE DE TODOS,TONIOLLI,Eduardo ,"TONIOLLI, Eduardo "
FRENTE DE TODOS,UCEDA,Marisa Lourdes,"UCEDA, Marisa Lourdes"
FRENTE DE TODOS,VALDES,Eduardo Félix,"VALDES, Eduardo Félix"
FRENTE DE TODOS,VARGAS MATYI,Brenda,"VARGAS MATYI, Brenda"
FRENTE DE TODOS,VERÓN,Jorge Guillermo,"VERÓN, Jorge Guillermo"
FRENTE DE TODOS,VESSVESSIAN,Paola,"VESSVESSIAN, Paola"
FRENTE DE TODOS,YAMBRÚN,Liliana Patricia,"YAMBRÚN, Liliana Patricia"
FRENTE DE TODOS,YAPOR,Lucio,"YAPOR, Lucio"
FRENTE DE TODOS,YASKY,Hugo ,"YASKY, Hugo "
FRENTE DE TODOS,YUTROVIC,Carolina,"YUTROVIC, Carolina"
FRENTE DE TODOS,ZABALA CHACUR,Natalia,"ZABALA CHACUR, Natalia"
FRENTE DE TODOS,ZARACHO,Natalia ,"ZARACHO, Natalia "
FRENTE PRO,AJMECHET,Sabrina,"AJMECHET, Sabrina"
FRENTE PRO,ANGELINI,Federico,"ANGELINI, Federico"
FRENTE PRO,ASSEFF,Alberto,"ASSEFF, Alberto"
FRENTE PRO,BACHEY,Karina Ethel,"BACHEY, Karina Ethel"
FRENTE PRO,BALDASSI,Héctor W.,"BALDASSI, Héctor W."
FRENTE PRO,BESANA,Gabriela ,"BESANA, Gabriela "
FRENTE PRO,BRAMBILLA,Sofia,"BRAMBILLA, Sofia"
FRENTE PRO,CHUMPITAZ,Gabriel Felipe,"CHUMPITAZ, Gabriel Felipe"
FRENTE PRO,CORNEJO,Virginia,"CORNEJO, Virginia"
FRENTE PRO,CRESCIMBENI,Camila,"CRESCIMBENI, Camila"
FRENTE PRO,DE MARCHI,Omar,"DE MARCHI, Omar"
FRENTE PRO,EL SUKARIA,Soher,"EL SUKARIA, Soher"
FRENTE PRO,FIGUEROA CASAS,Germana,"FIGUEROA CASAS, Germana"
FRENTE PRO,FINOCCHIARO,Alejandro ,"FINOCCHIARO, Alejandro "
FRENTE PRO,FRIGERIO,Federico ,"FRIGERIO, Federico "
FRENTE PRO,FRIGERIO,Rogelio,"FRIGERIO, Rogelio"
FRENTE PRO,GONZÁLEZ,Álvaro Gustavo,"GONZÁLEZ, Álvaro Gustavo"
FRENTE PRO,HEIN,Gustavo René,"HEIN, Gustavo René"
FRENTE PRO,IGLESIAS,Fernando Adolfo,"IGLESIAS, Fernando Adolfo"
FRENTE PRO,JETTER,Ingrid,"JETTER, Ingrid"
FRENTE PRO,JOURY,María de las Mercedes,"JOURY, María de las Mercedes"
FRENTE PRO,KLIPAUKA LEWTAK,Florencia,"KLIPAUKA LEWTAK, Florencia"
FRENTE PRO,LASPINA,Luciano Andrés,"LASPINA, Luciano Andrés"
FRENTE PRO,LOMBARDI,Hernán,"LOMBARDI, Hernán"
FRENTE PRO,LOSPENNATO,Silvia Gabriela,"LOSPENNATO, Silvia Gabriela"
FRENTE PRO,MAQUIEYRA,Martín,"MAQUIEYRA, Martín"
FRENTE PRO,MARTÍNEZ,Álvaro,"MARTÍNEZ, Álvaro"
FRENTE PRO,MILMAN,Gerardo,"MILMAN, Gerardo"
FRENTE PRO,MORALES GORLERI,Victoria,"MORALES GORLERI, Victoria"
FRENTE PRO,NUÑEZ,José Carlos,"NUÑEZ, José Carlos"
FRENTE PRO,OCAÑA,Graciela,"OCAÑA, Graciela"
FRENTE PRO,QUIROZ,Marilú,"QUIROZ, Marilú"
FRENTE PRO,REY,María Luján,"REY, María Luján"
FRENTE PRO,REZINOVSKY,Dina,"REZINOVSKY, Dina"
FRENTE PRO,RITONDO,Cristian Adrián,"RITONDO, Cristian Adrián"
FRENTE PRO,RODRÍGUEZ MACHADO,Laura,"RODRÍGUEZ MACHADO, Laura"
FRENTE PRO,ROMERO,Ana Clara,"ROMERO, Ana Clara"
FRENTE PRO,RUARTE,Adriana Noemi,"RUARTE, Adriana Noemi"
FRENTE PRO,SÁNCHEZ,Francisco,"SÁNCHEZ, Francisco"
FRENTE PRO,SANTILLI,Diego ,"SANTILLI, Diego "
FRENTE PRO,SANTOS,Gustavo,"SANTOS, Gustavo"
FRENTE PRO,SCHIAVONI,Alfredo Oscar,"SCHIAVONI, Alfredo Oscar"
FRENTE PRO,SOTOLANO,María ,"SOTOLANO, María "
FRENTE PRO,STEFANI,Héctor Antonio,"STEFANI, Héctor Antonio"
