interbloque,diputado_apellido,diputado_nombre,diputado_distrito,diputado_bloque,periodo
INTERBLOQUE JUNTOS POR EL CAMBIO,AGOST CARREÑO, Oscar ,CÓRDOBA,FRENTE PRO,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,AGUIRRE, Manuel Ignacio,CORRIENTES,U.C.R.,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,AJMECHET, Sabrina,CIUDAD AUTÓNOMA DE BUENOS AIRES,FRENTE PRO,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,AMAYA, Domingo Luis,TUCUMÁN,ENCUENTRO FEDERAL,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,ANGELINI, Federico,SANTA FE,FRENTE PRO,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,ÁNTOLA, Marcela,ENTRE RÍOS,EVOLUCIÓN RADICAL,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,ARJOL, Martín ,MISIONES,U.C.R.,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,ASCARATE, Lidia Inés,TUCUMÁN,U.C.R.,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,ASSEFF, Alberto,BUENOS AIRES,FRENTE PRO,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,BACHEY, Karina Ethel,SAN LUIS,FRENTE PRO,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,BALDASSI, Héctor W.,CÓRDOBA,FRENTE PRO,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,BANFI, Karina ,BUENOS AIRES,U.C.R.,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,BARLETTA, Mario,SANTA FE,U.C.R.,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,BAZZE, Miguel Ángel ,BUENOS AIRES,U.C.R.,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,BENEDETTI, Atilio,ENTRE RÍOS,U.C.R.,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,BERHONGARAY, Martín Antonio,LA PAMPA,EVOLUCIÓN RADICAL,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,BESANA, Gabriela ,BUENOS AIRES,FRENTE PRO,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,BORREGO, Victoria,BUENOS AIRES,COALICIÓN CÍVICA,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,BRAMBILLA, Sofia,CORRIENTES,FRENTE PRO,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,BROUWER DE KONING, Gabriela,CÓRDOBA,EVOLUCIÓN RADICAL,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,BURYAILE, Ricardo,FORMOSA,U.C.R.,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,CACACE, Alejandro,SAN LUIS,EVOLUCIÓN RADICAL,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,CAMPAGNOLI, Marcela,BUENOS AIRES,COALICIÓN CÍVICA,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,CARASSO, Marcos Gustavo,CÓRDOBA,U.C.R.,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,CARBAJAL, Fernando,FORMOSA,U.C.R.,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,CARRIZO, Ana Carla,CIUDAD AUTÓNOMA DE BUENOS AIRES,EVOLUCIÓN RADICAL,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,CARRIZO, Soledad,CÓRDOBA,U.C.R.,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,CASTETS, Laura Carolina,SANTA FE,VALORES REPUBLICANOS,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,CERVI, Pablo,NEUQUÉN,EVOLUCIÓN RADICAL,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,CHUMPITAZ, Gabriel Felipe,SANTA FE,FRENTE PRO,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,CIPOLINI, Gerardo,CHACO,U.C.R.,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,COBOS, Julio ,MENDOZA,U.C.R.,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,COLI, Marcela,LA PAMPA,U.C.R.,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,CORNEJO, Virginia,SALTA,FRENTE PRO,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,CRESCIMBENI, Camila,BUENOS AIRES,FRENTE PRO,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,DE LOREDO, Rodrigo ,CÓRDOBA,EVOLUCIÓN RADICAL,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,DE MARCHI, Omar,MENDOZA,FRENTE PRO,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,EL SUKARIA, Soher,CÓRDOBA,FRENTE PRO,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,ESPERT, José Luis,BUENOS AIRES,AVANZA LIBERTAD,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,ESPIL, Santiago Eugenio,BUENOS AIRES,COALICIÓN CÍVICA,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,FERRARO, Maximiliano,CIUDAD AUTÓNOMA DE BUENOS AIRES,COALICIÓN CÍVICA,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,FIGUEROA CASAS, Germana,SANTA FE,FRENTE PRO,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,FINOCCHIARO, Alejandro ,BUENOS AIRES,FRENTE PRO,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,FRADE, Mónica Edith,BUENOS AIRES,COALICIÓN CÍVICA,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,FRIGERIO, Federico ,TIERRA DEL FUEGO,FRENTE PRO,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,GALIMBERTI, Pedro Jorge,ENTRE RÍOS,U.C.R.,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,GARCÍA de LUCA, Sebastián,BUENOS AIRES,ENCUENTRO FEDERAL,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,GARCÍA, Ximena,SANTA FE,U.C.R.,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,GONZÁLEZ, Álvaro Gustavo,CIUDAD AUTÓNOMA DE BUENOS AIRES,FRENTE PRO,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,HEIN, Gustavo René,ENTRE RÍOS,FRENTE PRO,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,IGLESIAS, Fernando Adolfo,CIUDAD AUTÓNOMA DE BUENOS AIRES,FRENTE PRO,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,JETTER, Ingrid,CORRIENTES,FRENTE PRO,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,JOURY, María de las Mercedes,BUENOS AIRES,FRENTE PRO,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,KLIPAUKA LEWTAK, Florencia,MISIONES,FRENTE PRO,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,LACIAR, Susana Alicia,SAN JUAN,PRODUCCIÓN Y TRABAJO ,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,LASPINA, Luciano Andrés,SANTA FE,FRENTE PRO,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,LATORRE, Jimena,MENDOZA,U.C.R.,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,LENA, Gabriela,ENTRE RÍOS,U.C.R.,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,LOMBARDI, Hernán,BUENOS AIRES,FRENTE PRO,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,LOPEZ MURPHY, Ricardo Hipólito,CIUDAD AUTÓNOMA DE BUENOS AIRES,REPUBLICANOS UNIDOS ,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,LÓPEZ, Juan Manuel,BUENOS AIRES,COALICIÓN CÍVICA,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,LOSPENNATO, Silvia Gabriela,BUENOS AIRES,FRENTE PRO,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,MANES, Facundo ,BUENOS AIRES,U.C.R.,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,MANZI, Rubén,CATAMARCA,COALICIÓN CÍVICA,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,MAQUIEYRA, Martín,LA PAMPA,FRENTE PRO,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,MARTÍN, Juan,SANTA FE,U.C.R.,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,MARTÍNEZ VILLADA, Leonor María,CÓRDOBA,COALICIÓN CÍVICA,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,MARTÍNEZ, Álvaro,MENDOZA,FRENTE PRO,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,MARTÍNEZ, Dolores,CIUDAD AUTÓNOMA DE BUENOS AIRES,EVOLUCIÓN RADICAL,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,MILMAN, Gerardo,BUENOS AIRES,FRENTE PRO,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,MONTI, Francisco,CATAMARCA,U.C.R.,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,MONZÓ, Emilio,BUENOS AIRES,ENCUENTRO FEDERAL,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,MORALES GORLERI, Victoria,CIUDAD AUTÓNOMA DE BUENOS AIRES,FRENTE PRO,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,NANNI, Miguel,SALTA,U.C.R.,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,NEGRI, Mario Raúl,CÓRDOBA,U.C.R.,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,NIERI, Lisandro,MENDOZA,U.C.R.,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,NUÑEZ, José Carlos,SANTA FE,FRENTE PRO,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,OCAÑA, Graciela,BUENOS AIRES,FRENTE PRO,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,OLIVETO LAGO, Paula,CIUDAD AUTÓNOMA DE BUENOS AIRES,COALICIÓN CÍVICA,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,OMODEO, Paula,TUCUMÁN,CREO,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,ORREGO, Humberto Marcelo,SAN JUAN,PRODUCCIÓN Y TRABAJO ,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,POGGI, Claudio Javier,SAN LUIS,AVANZAR SAN LUIS,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,POLINI, Juan Carlos,CHACO,U.C.R.,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,QUETGLAS, Fabio José,BUENOS AIRES,U.C.R.,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,QUIROZ, Marilú,CHACO,FRENTE PRO,2021-2025
